asset_id,category,session,unit,block,resource_title,original_basename,local_path,source_relative_path,official_url,provenance,year,file_format,pages,bytes,sha256
book-MIT6_042JS15_textbook,book,,,,Mathematics for Computer Science (Spring 2015 textbook),MIT6_042JS15_textbook.pdf,99_Books/MIT6_042JS15_textbook.pdf,contents/readings/MIT6_042JS15_textbook.pdf,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015/readings/MIT6_042JS15_textbook.pdf,Official MIT OCW Spring 2015 course package,2015,pdf,920,5761048,a07e73979a55f0be10633fcba12c0195f4475288a9b84331c8eb0de0e0a1571a
caption-GyFVgJZ0hIs,caption,1,1,1.1.2,Intro To Proofs: Part 1: Video,GyFVgJZ0hIs.srt,04_Captions/GyFVgJZ0hIs.srt,contents/proofs/tp1-1/intro-to-proofs-part-1-video/intro-to-proofs-part-1/GyFVgJZ0hIs.srt,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015/proofs/tp1-1/intro-to-proofs-part-1-video/,Official MIT OCW Spring 2015 course package,2015,srt,,15740,c87f09bfc694e9d8d152597b83c8872977b336faefce65b21af3704e86d5cd73
caption-wIq4CssPoO0,caption,1,1,1.1.1,Welcome to 6.042: Video,wIq4CssPoO0.srt,04_Captions/wIq4CssPoO0.srt,contents/proofs/tp1-1/welcome-to-6-042-1/wIq4CssPoO0.srt,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015/proofs/tp1-1/,Official MIT OCW Spring 2015 course package,2015,srt,,3675,39ed28a3a270880c341dd62acc32f676a71245fe4fb57d9fc7b5016cd114e72e
caption-wfr4XbR5VP8,caption,1,1,1.1.3,Intro to Proofs: Part 2: Video,wfr4XbR5VP8.srt,04_Captions/wfr4XbR5VP8.srt,contents/proofs/tp1-1/intro-to-proofs-part-2-video/intro-to-proofs-part-2/wfr4XbR5VP8.srt,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015/proofs/tp1-1/intro-to-proofs-part-2-video/,Official MIT OCW Spring 2015 course package,2015,srt,,11509,0bdb17acfc19c8733621bec1b672ce865192c32779d8bf4e234de1b05e6257a3
caption-TXNXT3oBROw,caption,10,1,1.10.1,Recursive Data: Video,TXNXT3oBROw.srt,04_Captions/TXNXT3oBROw.srt,contents/proofs/recursive-definition/recursive-data/TXNXT3oBROw.srt,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015/proofs/recursive-definition/,Official MIT OCW Spring 2015 course package,2015,srt,,20702,1104605813725eab57ce288a89798083c15d3050b1c6a07f431ae5ca9b1171c8
caption-VWIDwHCGJDQ,caption,10,1,1.10.4,Structural Induction: Video,VWIDwHCGJDQ.srt,04_Captions/VWIDwHCGJDQ.srt,contents/proofs/recursive-definition/structural-induction-video/structural-induction/VWIDwHCGJDQ.srt,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015/proofs/recursive-definition/structural-induction-video/,Official MIT OCW Spring 2015 course package,2015,srt,,8965,c46cc647dba0128166499565b89f31fda7dff7a4264db07ca79237f950a12087
caption-tOsdeaYDCMk,caption,10,1,1.10.7,Recursive Functions: Video,tOsdeaYDCMk.srt,04_Captions/tOsdeaYDCMk.srt,contents/proofs/recursive-definition/recursive-functions-video/recursive-functions/tOsdeaYDCMk.srt,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015/proofs/recursive-definition/recursive-functions-video/,Official MIT OCW Spring 2015 course package,2015,srt,,19137,f6a079edcbb579b3d6d957c6045034282133b103f11d8504cc01b63f9f3e08c7
caption-4dj1ogUwTEM,caption,11,1,1.11.4,Cantor's Theorem: Video,4dj1ogUwTEM.srt,04_Captions/4dj1ogUwTEM.srt,contents/proofs/tp4-3/vertical-4eaa04fd577b/cantor-s-theorem/4dj1ogUwTEM.srt,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015/proofs/tp4-3/vertical-4eaa04fd577b/,Official MIT OCW Spring 2015 course package,2015,srt,,32706,dc184ca7d5256077c932703b4ea956603bcbbda49fce8288f9a6c10d4aa1ef72
caption-5hETv64GIuE,caption,11,1,1.11.9,Russell's Paradox: Video,5hETv64GIuE.srt,04_Captions/5hETv64GIuE.srt,contents/proofs/tp4-3/vertical-f1f52e8d7024/russell-s-paradox/5hETv64GIuE.srt,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015/proofs/tp4-3/vertical-f1f52e8d7024/,Official MIT OCW Spring 2015 course package,2015,srt,,20308,44bf1513672d10bbc07f0c5dc3f2cb7450b5eda31e53d370bb8f551bb03e5224
caption-AipSRi3CyLg,caption,11,1,1.11.3,Countable Sets: Video,AipSRi3CyLg.srt,04_Captions/AipSRi3CyLg.srt,contents/proofs/tp4-3/countable-sets-video/countable-sets/AipSRi3CyLg.srt,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015/proofs/tp4-3/countable-sets-video/,Official MIT OCW Spring 2015 course package,2015,srt,,16492,3a03d795fce0dcd5aa2402b46835709d1ac4eee78975cf962180df25ee848811
caption-QzSCf62kzjE,caption,11,1,1.11.1,Cardinality: Video,QzSCf62kzjE.srt,04_Captions/QzSCf62kzjE.srt,contents/proofs/tp4-3/cardinality/QzSCf62kzjE.srt,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015/proofs/tp4-3/,Official MIT OCW Spring 2015 course package,2015,srt,,20631,3cc25cb556dc63dec2f67d437a7fc13e80381c8fe978e1ab02c90d7169c8168e
