coverage_id,category,session,unit,source_file,source_page,problem_number,prompt_id,official_answer_available,note_file,note_anchor,solution_status,verification_method
online-S01-1.1.4-Q1,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.4_definitions-to-know-for-proofs.md,,,Q1,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S01-1.1.4-Q2,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.4_definitions-to-know-for-proofs.md,,,Q2,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S01-1.1.4-Q3,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.4_definitions-to-know-for-proofs.md,,,Q3,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S01-1.1.4-Q4,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.4_definitions-to-know-for-proofs.md,,,Q4,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S01-1.1.4-Q5,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.4_definitions-to-know-for-proofs.md,,,Q5,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S01-1.1.4-Q6,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.4_definitions-to-know-for-proofs.md,,,Q6,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S01-1.1.4-Q7,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.4_definitions-to-know-for-proofs.md,,,Q7,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S01-1.1.5-Q1,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.5_modus-ponens.md,,,Q1,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S01-1.1.5-Q2,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.5_modus-ponens.md,,,Q2,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
online-S01-1.1.5-Q3,online_feedback,1,1,08_Courseware_Exercises/S01_1.1.5_modus-ponens.md,,,Q3,yes,01_Proofs.md,#Session 1 — Introduction to Proofs,integrated; official answer and feedback explained in course note,official OCW correct-answer and feedback fields; checked in course note
