title,module,source_url,status,target_file,note
EC400 pre-arrival materials page,course,https://www.lse.ac.uk/economics/study/ec400-pre-arrival-materials,not_pdf_reference,,official source page
EC400 Course Guide 2024/25,course,https://www.lse.ac.uk/resources/calendar2024-2025/courseGuides/EC/2024_EC400.htm,not_pdf_reference,,official course guide page
EC400 2025 Timetable,course,https://www.lse.ac.uk/economics/Assets/Documents/EC400-Timetable-2025.pdf,downloaded,00_Course_Info_and_Timetable/EC400_2025_Timetable.pdf,direct official PDF downloaded
Revision Maths Notes,revision,https://www.dropbox.com/sh/zhw0lda2m90z6l3/AAAHE1eM36RHJjGg6c5x-s9Ea?dl=0,restricted,,official Dropbox folder requires password or privileged access
Revision Mathematics Videos and Notes guide,revision,https://www.dropbox.com/s/q00opanifabsosy/Revision%20Mathematics%20%5BRM%5D%20Videos%20and%20Notes.pdf?dl=0,restricted,,official Dropbox file requires password or privileged access
Background Material Quizzes A-D,revision,https://www.dropbox.com/sh/chr6m7ui02bmpx9/AABbyOMWUAMoo2-r20AoKSPQa?dl=0,restricted,,official Dropbox folder requires password or privileged access
Background Material Quiz Answers A-D,revision,https://www.dropbox.com/sh/30qxszysbq5yisj/AAAKJarJyWWGSH5lK9NUApj_a?dl=0,restricted,,official Dropbox folder requires password or privileged access
Reading & Background Notes,revision,https://www.dropbox.com/sh/5jw75bih8myyyhu/AADeNgq3dtsuBUcQPKFDvCiva?dl=0,restricted,,official Dropbox folder requires password or privileged access
Revision Mathematics Quiz Documents,revision,https://www.dropbox.com/sh/mcp9cm1qvy3iq7e/AACkffImwB8yngyWzc00XsvIa?dl=0,restricted,,official Dropbox folder requires password or privileged access
EC400 SOFP Coursepack 2025,sofp,https://www.dropbox.com/scl/fi/bcyl0fpf074wzx8rm79s3/EC400-Coursepack-SOFP-2025.pdf?rlkey=5tvea5ij9ifk9frggougqso68&st=wg8xchaq&dl=0,restricted,,Chrome test reached Dropbox Password Required page
EC400 DPDE Coursepack 2025,dpde,https://www.dropbox.com/scl/fo/ww6b5lzxeshw2a47yv94q/AETC6TKOMFU8vvphcBenz_g?rlkey=o196jlc6lyiqmy5v74q21w1ch&st=0jqr1bq2&dl=0,restricted,,official Dropbox folder requires password or privileged access
EC400 PSI Syllabus,psi,https://www.dropbox.com/scl/fi/0e32eo37o8k31icgtb6lb/CourseGuide-PSI.pdf?rlkey=5y1vgkllhdczfpm6520pldiip&st=7ykf8t1f&dl=0%20Dropbox,restricted,,official Dropbox file requires password or privileged access
Pre-Arrival Reference Material,psi,https://www.dropbox.com/scl/fi/28vpabs0rnbysvi9wzcx2/EC400Stats_Prearrival2025.pdf?rlkey=ge223q2meue8y4ueggj6y42uj&st=wg7f471a&dl=0,restricted,,official Dropbox file requires password or privileged access
Pre-Arrival Quiz,psi,https://www.dropbox.com/scl/fi/vuz3h1e68ycjytdxw7b36/EC400Stats_PrearrivalQuiz2025.pdf?rlkey=5cijhc1rq8q1zqc6vdqkworze&st=49f54wu8&dl=0,restricted,,official Dropbox file requires password or privileged access
EC400 Math for Microeconomics Handout 2019/20,sofp_supplementary,https://personal.lse.ac.uk/nava/Materials/EC400%20Handout.pdf,supplementary_downloaded,06_Public_LSE_Supplementary/SOFP_Micro/EC400_Math_for_Microeconomics_Handout_Nava_2019-20.pdf,public LSE personal page; older but directly relevant to SOFP / micro maths; 546679 bytes
EC400 Probability and Statistics Syllabus 2010/11,psi_supplementary,https://personal.lse.ac.uk/goujard/syllabus_teaching/PS-2010.pdf,supplementary_downloaded,06_Public_LSE_Supplementary/PSI_Probability_Statistics/EC400_Probability_Statistics_Syllabus_Goujard_2010-11.pdf,public LSE personal page; historical syllabus for EC400 probability/statistics; 25946 bytes
Hypothesis Testing for Beginners 2011,psi_supplementary,https://personal.lse.ac.uk/PIFFER/HT%20for%20beginners.pdf,supplementary_downloaded,06_Public_LSE_Supplementary/PSI_Probability_Statistics/Hypothesis_Testing_for_Beginners_Piffer_2011.pdf,public LSE personal page; useful PSI background support; 757048 bytes
EC400 Quiz 1 Question 2 Solution 2011,psi_supplementary,https://personal.lse.ac.uk/PIFFER/Quiz1_Q2.pdf,supplementary_downloaded,06_Public_LSE_Supplementary/PSI_Probability_Statistics/EC400_Quiz1_Q2_Solution_Piffer_2011.pdf,public LSE personal page; EC400 PSI practice support; 76904 bytes
EC400 Exam 2010/11 Question 2 Alternative Solution,psi_supplementary,https://personal.lse.ac.uk/PIFFER/Exam2011.pdf,supplementary_downloaded,06_Public_LSE_Supplementary/PSI_Probability_Statistics/EC400_Exam_2010-11_Q2_Alternative_Solution_Piffer.pdf,public LSE personal page; EC400 PSI exam support; 95643 bytes
